timestamp,tournament_id,rounds,matches,file
2026-06-03T13:25:25.182386,20260530_pauper_baltzer,4,20,20260530_pauper_baltzer.json
2026-06-14T12:19:13.062568,20260606_pauper_lyngby,4,24,20260606_pauper_lyngby.json
